,competition,season,rank,squad,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,players_used,assists,pens_made,pens_att,cards_yellow,cards_red,shots_on_target_against,saves,clean_sheets,shots_on_target,games_starts,games_complete,games_subs,unused_subs,points_per_match,adjusted_wins,adjusted_draws,adjusted_losses,adjusted_goals_for,adjusted_goals_against,adjusted_goal_diff,adjusted_assists,adjusted_pens_made,adjusted_pens_att,adjusted_shots_on_target_against,adjusted_saves,adjusted_clean_sheets,adjusted_shots_on_target,adjusted_points,adjusted_points_per_match,UEFA Champions League,UEFA Europa League,Relegation
0,Premier League,2010-2011,1,Manchester Utd,38,23,11,4,78,37,41,80,29,59,3,5,56.0,3.0,139,102,15,218,418,,99,,2.11,23,11,4,78,37,41.0,59,3,5,139,102,15,218,80,2.11,Yes,No,No
1,Premier League,2010-2011,2,Chelsea,38,21,8,9,69,33,36,71,24,39,6,8,59.0,1.0,148,115,15,241,418,,107,,1.87,21,8,9,69,33,36.0,39,6,8,148,115,15,241,71,1.87,Yes,No,No
2,Premier League,2010-2011,3,Manchester City,38,21,8,9,60,33,27,71,27,35,8,9,71.0,5.0,153,120,18,182,418,,102,,1.87,21,8,9,60,33,27.0,35,8,9,153,120,18,182,71,1.87,Yes,No,No
3,Premier League,2010-2011,4,Arsenal,38,19,11,8,72,43,29,68,27,51,4,7,65.0,6.0,150,106,13,243,418,,107,,1.79,19,11,8,72,43,29.0,51,4,7,150,106,13,243,68,1.79,Yes,No,No
4,Premier League,2010-2011,5,Tottenham,38,16,14,8,55,46,9,62,28,34,5,5,50.0,2.0,183,137,8,202,418,,96,,1.63,16,14,8,55,46,9.0,34,5,5,183,137,8,202,62,1.63,No,Yes,No
5,Premier League,2010-2011,6,Liverpool,38,17,7,14,59,44,15,58,30,30,7,8,63.0,2.0,149,105,14,204,418,,93,,1.53,17,7,14,59,44,15.0,30,7,8,149,105,14,204,58,1.53,No,No,No
6,Premier League,2010-2011,7,Everton,38,13,15,10,51,45,6,54,24,33,3,4,56.0,5.0,153,108,9,192,418,,106,,1.42,13,15,10,51,45,6.0,33,3,4,153,108,9,192,54,1.42,No,No,No
7,Premier League,2010-2011,8,Fulham,38,11,16,11,49,43,6,49,29,32,2,3,52.0,1.0,171,128,14,182,418,,93,,1.29,11,16,11,49,43,6.0,32,2,3,171,128,14,182,49,1.29,No,Yes,No
8,Premier League,2010-2011,9,Aston Villa,38,12,12,14,48,59,-11,48,32,32,4,6,70.0,2.0,189,130,7,167,418,,89,,1.26,12,12,14,48,59,-11.0,32,4,6,189,130,7,167,48,1.26,No,No,No
9,Premier League,2010-2011,10,Sunderland,38,12,11,15,45,56,-11,47,31,23,4,5,56.0,5.0,206,150,13,159,418,,99,,1.24,12,11,15,45,56,-11.0,23,4,5,206,150,13,159,47,1.24,No,No,No
10,Premier League,2010-2011,11,West Brom,38,12,11,15,56,71,-15,47,28,37,4,6,51.0,7.0,182,111,2,183,418,,107,,1.24,12,11,15,56,71,-15.0,37,4,6,182,111,2,183,47,1.24,No,No,No
11,Premier League,2010-2011,12,Newcastle Utd,38,11,13,14,56,57,-1,46,30,35,5,5,78.0,2.0,161,104,9,179,418,,89,,1.21,11,13,14,56,57,-1.0,35,5,5,161,104,9,179,46,1.21,No,No,No
12,Premier League,2010-2011,13,Stoke City,38,13,7,18,46,48,-2,46,25,28,3,3,69.0,2.0,176,128,9,146,418,,104,,1.21,13,7,18,46,48,-2.0,28,3,3,176,128,9,146,46,1.21,No,Yes,No
13,Premier League,2010-2011,14,Bolton,38,12,10,16,52,56,-4,46,24,34,4,5,66.0,5.0,193,137,5,176,418,,107,,1.21,12,10,16,52,56,-4.0,34,4,5,193,137,5,176,46,1.21,No,No,No
14,Premier League,2010-2011,15,Blackburn,38,11,10,17,46,59,-13,43,29,28,1,2,64.0,5.0,194,135,8,143,418,,107,,1.13,11,10,17,46,59,-13.0,28,1,2,194,135,8,143,43,1.13,No,No,No
15,Premier League,2010-2011,16,Wigan Athletic,38,9,15,14,40,61,-21,42,25,20,2,3,67.0,4.0,196,135,7,175,418,,99,,1.11,9,15,14,40,61,-21.0,20,2,3,196,135,7,175,42,1.11,No,No,No
16,Premier League,2010-2011,17,Wolves,38,11,7,20,46,66,-20,40,30,29,3,3,62.0,2.0,199,133,5,145,418,,101,,1.05,11,7,20,46,66,-20.0,29,3,3,199,133,5,145,40,1.05,No,No,No
17,Premier League,2010-2011,18,Birmingham City,38,8,15,15,37,58,-21,39,26,23,2,2,56.0,3.0,257,199,9,122,418,,85,,1.03,8,15,15,37,58,-21.0,23,2,2,257,199,9,122,39,1.03,No,Yes,Yes
18,Premier League,2010-2011,19,Blackpool,38,10,9,19,55,78,-23,39,30,29,7,8,47.0,2.0,240,160,6,171,418,,106,,1.03,10,9,19,55,78,-23.0,29,7,8,240,160,6,171,39,1.03,No,No,Yes
19,Premier League,2010-2011,20,West Ham,38,7,12,19,43,70,-27,33,35,21,5,6,58.0,1.0,243,173,5,176,418,,98,,0.87,7,12,19,43,70,-27.0,21,5,6,243,173,5,176,33,0.87,No,No,Yes
20,Premier League,2011-2012,1,Manchester City,38,28,5,5,93,29,64,89,24,73,7,8,51.0,5.0,133,104,17,262,418,,110,,2.34,28,5,5,93,29,64.0,73,7,8,133,104,17,262,89,2.34,Yes,No,No
21,Premier League,2011-2012,2,Manchester Utd,38,28,5,5,89,33,56,89,31,69,9,11,51.0,1.0,159,126,20,255,418,,100,,2.34,28,5,5,89,33,56.0,69,9,11,159,126,20,255,89,2.34,Yes,No,No
22,Premier League,2011-2012,3,Arsenal,38,21,7,10,74,49,25,70,32,57,2,3,64.0,4.0,135,86,13,230,418,,108,,1.84,21,7,10,74,49,25.0,57,2,3,135,86,13,230,70,1.84,Yes,No,No
23,Premier League,2011-2012,4,Tottenham,38,20,9,9,66,41,25,69,29,48,4,5,43.0,3.0,163,122,14,240,418,,94,,1.82,20,9,9,66,41,25.0,48,4,5,163,122,14,240,69,1.82,No,Yes,No
24,Premier League,2011-2012,5,Newcastle Utd,38,19,8,11,56,51,5,65,26,36,2,3,65.0,2.0,176,125,15,157,418,,112,,1.71,19,8,11,56,51,5.0,36,2,3,176,125,15,157,65,1.71,No,Yes,No
25,Premier League,2011-2012,6,Chelsea,38,18,10,10,65,46,19,64,29,45,4,5,74.0,4.0,161,115,10,232,418,,104,,1.68,18,10,10,65,46,19.0,45,4,5,161,115,10,232,64,1.68,Yes,No,No
26,Premier League,2011-2012,7,Everton,38,15,11,12,50,40,10,56,29,32,5,5,61.0,2.0,138,98,12,166,407,,110,,1.47,15,11,12,50,40,10.0,32,5,5,138,98,12,166,56,1.47,No,No,No
27,Premier League,2011-2012,8,Liverpool,38,14,10,14,47,40,7,52,26,23,1,4,52.0,5.0,137,97,12,210,418,,91,,1.37,14,10,14,47,40,7.0,23,1,4,137,97,12,210,52,1.37,No,Yes,No
28,Premier League,2011-2012,9,Fulham,38,14,10,14,48,51,-3,52,28,31,3,4,54.0,0.0,200,149,11,197,418,,85,,1.37,14,10,14,48,51,-3.0,31,3,4,200,149,11,197,52,1.37,No,No,No
29,Premier League,2011-2012,10,West Brom,38,13,8,17,45,52,-7,47,25,30,1,2,47.0,1.0,171,119,10,184,418,,101,,1.24,13,8,17,45,52,-7.0,30,1,2,171,119,10,184,47,1.24,No,No,No
30,Premier League,2011-2012,11,Swansea City,38,12,11,15,44,51,-7,47,25,24,5,6,40.0,2.0,198,147,14,149,418,,94,,1.24,12,11,15,44,51,-7.0,24,5,6,198,147,14,149,47,1.24,No,No,No
31,Premier League,2011-2012,12,Norwich City,38,12,11,15,52,66,-14,47,27,33,2,2,58.0,3.0,228,162,3,171,418,,111,,1.24,12,11,15,52,66,-14.0,33,2,2,228,162,3,171,47,1.24,No,No,No
32,Premier League,2011-2012,13,Sunderland,38,11,12,15,45,46,-1,45,28,25,1,2,58.0,4.0,170,124,12,147,418,,92,,1.18,11,12,15,45,46,-1.0,25,1,2,170,124,12,147,45,1.18,No,No,No
33,Premier League,2011-2012,14,Stoke City,38,11,12,15,36,53,-17,45,23,28,4,6,60.0,2.0,177,124,9,105,418,,107,,1.18,11,12,15,36,53,-17.0,28,4,6,177,124,9,105,45,1.18,No,No,No
34,Premier League,2011-2012,15,Wigan Athletic,38,11,10,17,42,62,-20,43,23,22,5,7,67.0,3.0,200,138,8,161,418,,102,,1.13,11,10,17,42,62,-20.0,22,5,7,200,138,8,161,43,1.13,No,No,No
35,Premier League,2011-2012,16,Aston Villa,38,7,17,14,37,53,-16,38,27,26,3,3,69.0,2.0,185,132,9,146,418,,94,,1.0,7,17,14,37,53,-16.0,26,3,3,185,132,9,146,38,1.0,No,No,No
36,Premier League,2011-2012,17,QPR,38,10,7,21,43,66,-23,37,34,25,2,2,53.0,9.0,207,141,7,156,418,,89,,0.97,10,7,21,43,66,-23.0,25,2,2,207,141,7,156,37,0.97,No,No,No
37,Premier League,2011-2012,18,Bolton,38,10,6,22,46,77,-31,36,30,29,5,6,50.0,5.0,233,156,3,159,418,,104,,0.95,10,6,22,46,77,-31.0,29,5,6,233,156,3,159,36,0.95,No,No,Yes
38,Premier League,2011-2012,19,Blackburn,38,8,7,23,48,78,-30,31,31,32,4,8,66.0,5.0,190,112,3,150,418,,87,,0.82,8,7,23,48,78,-30.0,32,4,8,190,112,3,150,31,0.82,No,No,Yes
39,Premier League,2011-2012,20,Wolves,38,5,10,23,40,82,-42,25,32,25,3,4,64.0,4.0,271,189,4,152,418,,108,,0.66,5,10,23,40,82,-42.0,25,3,4,271,189,4,152,25,0.66,No,No,Yes
40,Premier League,2012-2013,1,Manchester Utd,38,28,5,5,86,43,43,89,25,63,4,7,57.0,1.0,152,109,13,243,418,,100,,2.34,28,5,5,86,43,43.0,63,4,7,152,109,13,243,89,2.34,Yes,No,No
41,Premier League,2012-2013,2,Manchester City,38,23,9,6,66,34,32,78,25,45,4,6,63.0,3.0,112,78,18,285,418,,112,,2.05,23,9,6,66,34,32.0,45,4,6,112,78,18,285,78,2.05,Yes,No,No
42,Premier League,2012-2013,3,Chelsea,38,22,9,7,75,39,36,75,26,50,9,11,51.0,3.0,162,123,14,257,418,,98,,1.97,22,9,7,75,39,36.0,50,9,11,162,123,14,257,75,1.97,Yes,No,No
43,Premier League,2012-2013,4,Arsenal,38,21,10,7,72,37,35,73,26,54,5,6,37.0,4.0,142,105,14,272,418,,108,,1.92,21,10,7,72,37,35.0,54,5,6,142,105,14,272,73,1.92,Yes,No,No
44,Premier League,2012-2013,5,Tottenham,38,21,9,8,66,46,20,72,28,45,0,0,54.0,2.0,127,81,9,284,418,,104,,1.89,21,9,8,66,46,20.0,45,0,0,127,81,9,284,72,1.89,No,Yes,No
45,Premier League,2012-2013,6,Everton,38,16,15,7,55,40,15,63,23,42,2,2,59.0,3.0,143,103,11,266,418,,88,,1.66,16,15,7,55,40,15.0,42,2,2,143,103,11,266,63,1.66,No,No,No
46,Premier League,2012-2013,7,Liverpool,38,16,13,9,71,43,28,61,28,47,5,6,54.0,2.0,135,92,16,297,418,,89,,1.61,16,13,9,71,43,28.0,47,5,6,135,92,16,297,61,1.61,No,No,No
47,Premier League,2012-2013,8,West Brom,38,14,7,17,53,57,-4,49,25,38,5,7,62.0,4.0,177,120,8,200,418,,106,,1.29,14,7,17,53,57,-4.0,38,5,7,177,120,8,200,49,1.29,No,No,No
48,Premier League,2012-2013,9,Swansea City,38,11,13,14,47,51,-4,46,25,32,0,0,57.0,2.0,201,150,10,209,418,,106,,1.21,11,13,14,47,51,-4.0,32,0,0,201,150,10,209,46,1.21,No,Yes,No
49,Premier League,2012-2013,10,West Ham,38,12,10,16,45,53,-8,46,26,33,4,4,74.0,1.0,215,162,11,206,418,,112,,1.21,12,10,16,45,53,-8.0,33,4,4,215,162,11,206,46,1.21,No,No,No
50,Premier League,2012-2013,11,Norwich City,38,10,14,14,41,58,-17,44,27,27,1,2,60.0,1.0,176,118,10,177,418,,97,,1.16,10,14,14,41,58,-17.0,27,1,2,176,118,10,177,44,1.16,No,No,No
51,Premier League,2012-2013,12,Fulham,38,11,10,17,50,60,-10,43,29,32,6,6,48.0,3.0,198,138,8,205,418,,98,,1.13,11,10,17,50,60,-10.0,32,6,6,198,138,8,205,43,1.13,No,No,No
52,Premier League,2012-2013,13,Stoke City,38,9,15,14,34,45,-11,42,24,23,3,5,76.0,4.0,154,109,12,144,418,,108,,1.11,9,15,14,34,45,-11.0,23,3,5,154,109,12,144,42,1.11,No,No,No
53,Premier League,2012-2013,14,Southampton,38,9,14,15,49,60,-11,41,25,25,3,3,43.0,2.0,162,102,7,207,418,,102,,1.08,9,14,15,49,60,-11.0,25,3,3,162,102,7,207,41,1.08,No,No,No
54,Premier League,2012-2013,15,Aston Villa,38,10,11,17,47,69,-22,41,28,34,3,3,72.0,3.0,193,124,5,176,418,,102,,1.08,10,11,17,47,69,-22.0,34,3,3,193,124,5,176,41,1.08,No,No,No
55,Premier League,2012-2013,16,Newcastle Utd,38,11,8,19,45,68,-23,41,32,22,4,5,71.0,4.0,189,121,6,208,418,,108,,1.08,11,8,19,45,68,-23.0,22,4,5,189,121,6,208,41,1.08,No,No,No
56,Premier League,2012-2013,17,Sunderland,38,9,12,17,41,54,-13,39,29,24,4,4,61.0,3.0,200,146,11,164,418,,99,,1.03,9,12,17,41,54,-13.0,24,4,4,200,146,11,164,39,1.03,No,No,No
57,Premier League,2012-2013,18,Wigan Athletic,38,9,9,20,47,73,-26,36,28,35,1,1,66.0,2.0,188,115,5,209,418,,97,,0.95,9,9,20,47,73,-26.0,35,1,1,188,115,5,209,36,0.95,No,No,Yes
58,Premier League,2012-2013,19,Reading,38,6,10,22,43,73,-30,28,28,28,4,4,45.0,1.0,236,163,5,146,418,,94,,0.74,6,10,22,43,73,-30.0,28,4,4,236,163,5,146,28,0.74,No,No,Yes
59,Premier League,2012-2013,20,QPR,38,4,13,21,30,60,-30,25,30,22,1,4,59.0,3.0,192,132,7,183,418,,104,,0.66,4,13,21,30,60,-30.0,22,1,4,192,132,7,183,25,0.66,No,No,Yes
60,Premier League,2013-2014,1,Manchester City,38,27,5,6,102,37,65,86,23,63,6,7,0.0,0.0,126,89,16,239,418,,108,,2.26,27,5,6,102,37,65.0,63,6,7,126,89,16,239,86,2.26,Yes,No,No
61,Premier League,2013-2014,2,Liverpool,38,26,6,6,101,50,51,84,25,61,10,12,0.0,0.0,152,102,10,300,418,,89,,2.21,26,6,6,101,50,51.0,61,10,12,152,102,10,300,84,2.21,Yes,No,No
62,Premier League,2013-2014,3,Chelsea,38,25,7,6,71,27,44,82,29,39,5,7,0.0,0.0,121,94,18,281,418,,113,,2.16,25,7,6,71,27,44.0,39,5,7,121,94,18,281,82,2.16,Yes,No,No
63,Premier League,2013-2014,4,Arsenal,38,24,7,7,68,41,27,79,27,48,3,3,0.0,0.0,147,106,17,254,418,,104,,2.08,24,7,7,68,41,27.0,48,3,3,147,106,17,254,79,2.08,Yes,No,No
64,Premier League,2013-2014,5,Everton,38,21,9,8,61,39,22,72,28,42,3,3,0.0,0.0,148,109,15,235,418,,103,,1.89,21,9,8,61,39,22.0,42,3,3,148,109,15,235,72,1.89,No,Yes,No
65,Premier League,2013-2014,6,Tottenham,38,21,6,11,55,51,4,69,28,33,5,6,0.0,0.0,152,101,14,228,418,,108,,1.82,21,6,11,55,51,4.0,33,5,6,152,101,14,228,69,1.82,No,Yes,No
66,Premier League,2013-2014,7,Manchester Utd,38,19,7,12,64,43,21,64,30,37,5,5,0.0,0.0,143,100,13,234,418,,106,,1.68,19,7,12,64,43,21.0,37,5,5,143,100,13,234,64,1.68,No,No,No
67,Premier League,2013-2014,8,Southampton,38,15,11,12,54,46,8,56,24,37,3,3,0.0,0.0,132,86,15,181,418,,106,,1.47,15,11,12,54,46,8.0,37,3,3,132,86,15,181,56,1.47,No,No,No
68,Premier League,2013-2014,9,Stoke City,38,13,11,14,45,52,-7,50,26,26,4,5,0.0,0.0,173,121,9,142,418,,98,,1.32,13,11,14,45,52,-7.0,26,4,5,173,121,9,142,50,1.32,No,No,No
69,Premier League,2013-2014,10,Newcastle Utd,38,15,4,19,43,59,-16,49,26,25,2,3,0.0,0.0,170,111,10,185,418,,105,,1.29,15,4,19,43,59,-16.0,25,2,3,170,111,10,185,49,1.29,No,No,No
70,Premier League,2013-2014,11,Crystal Palace,38,13,6,19,33,48,-15,45,31,21,5,6,0.0,0.0,169,121,12,142,418,,112,,1.18,13,6,19,33,48,-15.0,21,5,6,169,121,12,142,45,1.18,No,No,No
71,Premier League,2013-2014,12,Swansea City,38,11,9,18,54,54,0,42,27,37,4,4,0.0,0.0,155,101,8,163,418,,100,,1.11,11,9,18,54,54,0.0,37,4,4,155,101,8,163,42,1.11,No,No,No
72,Premier League,2013-2014,13,West Ham,38,11,7,20,40,51,-11,40,29,22,2,2,0.0,0.0,193,142,14,123,418,,110,,1.05,11,7,20,40,51,-11.0,22,2,2,193,142,14,123,40,1.05,No,No,No
73,Premier League,2013-2014,14,Sunderland,38,10,8,20,41,60,-19,38,31,24,6,6,0.0,0.0,217,157,11,135,418,,105,,1.0,10,8,20,41,60,-19.0,24,6,6,217,157,11,135,38,1.0,No,No,No
74,Premier League,2013-2014,15,Aston Villa,38,10,8,20,39,61,-22,38,26,25,2,4,0.0,0.0,174,113,9,136,418,,91,,1.0,10,8,20,39,61,-22.0,25,2,4,174,113,9,136,38,1.0,No,No,No
75,Premier League,2013-2014,16,Hull City,38,10,7,21,38,53,-15,37,27,21,2,3,0.0,0.0,164,111,10,129,418,,108,,0.97,10,7,21,38,53,-15.0,21,2,3,164,111,10,129,37,0.97,No,Yes,No
76,Premier League,2013-2014,17,West Brom,38,7,15,16,43,59,-16,36,28,27,2,2,0.0,0.0,174,115,7,145,418,,111,,0.95,7,15,16,43,59,-16.0,27,2,2,174,115,7,145,36,0.95,No,No,No
77,Premier League,2013-2014,18,Norwich City,38,8,9,21,28,62,-34,33,25,18,1,2,0.0,0.0,189,127,12,145,418,,95,,0.87,8,9,21,28,62,-34.0,18,1,2,189,127,12,145,33,0.87,No,No,Yes
78,Premier League,2013-2014,19,Fulham,38,9,5,24,40,85,-45,32,39,28,2,3,0.0,0.0,241,156,5,149,418,,110,,0.84,9,5,24,40,85,-45.0,28,2,3,241,156,5,149,32,0.84,No,No,Yes
79,Premier League,2013-2014,20,Cardiff City,38,7,9,22,32,74,-42,30,32,24,1,1,0.0,0.0,220,146,7,125,418,,110,,0.79,7,9,22,32,74,-42.0,24,1,1,220,146,7,125,30,0.79,No,No,Yes
80,Premier League,2014-2015,1,Chelsea,38,26,9,3,73,32,41,87,25,59,4,5,0.0,0.0,121,89,17,209,418,,113,153.0,2.29,26,9,3,73,32,41.0,59,4,5,121,89,17,209,87,2.29,Yes,No,No
81,Premier League,2014-2015,2,Manchester City,38,24,7,7,83,38,45,79,24,61,7,8,0.0,0.0,128,90,14,228,418,,114,152.0,2.08,24,7,7,83,38,45.0,61,7,8,128,90,14,228,79,2.08,Yes,No,No
82,Premier League,2014-2015,3,Arsenal,38,22,9,7,71,36,35,75,29,47,6,7,0.0,0.0,128,92,13,226,418,,103,163.0,1.97,22,9,7,71,36,35.0,47,6,7,128,92,13,226,75,1.97,Yes,No,No
83,Premier League,2014-2015,4,Manchester Utd,38,20,10,8,62,37,25,70,33,41,3,5,0.0,0.0,134,97,11,177,418,,109,157.0,1.84,20,10,8,62,37,25.0,41,3,5,134,97,11,177,70,1.84,Yes,No,No
84,Premier League,2014-2015,5,Tottenham,38,19,7,12,58,53,5,64,27,40,3,5,0.0,0.0,170,117,9,171,418,,111,154.0,1.68,19,7,12,58,53,5.0,40,3,5,170,117,9,171,64,1.68,No,Yes,No
85,Premier League,2014-2015,6,Liverpool,38,18,8,12,52,48,4,62,25,30,5,6,0.0,0.0,139,91,14,193,418,,97,169.0,1.63,18,8,12,52,48,4.0,30,5,6,139,91,14,193,62,1.63,No,Yes,No
86,Premier League,2014-2015,7,Southampton,38,18,6,14,54,33,21,60,29,32,2,3,0.0,0.0,109,76,15,167,418,,98,165.0,1.58,18,6,14,54,33,21.0,32,2,3,109,76,15,167,60,1.58,No,Yes,No
87,Premier League,2014-2015,8,Swansea City,38,16,8,14,46,49,-3,56,27,34,2,2,0.0,0.0,188,139,13,146,418,,105,160.0,1.47,16,8,14,46,49,-3.0,34,2,2,188,139,13,146,56,1.47,No,No,No
88,Premier League,2014-2015,9,Stoke City,38,15,9,14,48,45,3,54,25,30,3,3,0.0,0.0,139,94,9,136,418,,99,167.0,1.42,15,9,14,48,45,3.0,30,3,3,139,94,9,136,54,1.42,No,No,No
89,Premier League,2014-2015,10,Crystal Palace,38,13,9,16,47,51,-4,48,30,27,5,7,0.0,0.0,144,93,7,139,418,,104,162.0,1.26,13,9,16,47,51,-4.0,27,5,7,144,93,7,139,48,1.26,No,No,No
90,Premier League,2014-2015,11,Everton,38,12,11,15,48,50,-2,47,28,31,4,7,0.0,0.0,128,78,10,167,418,,95,171.0,1.24,12,11,15,48,50,-2.0,31,4,7,128,78,10,167,47,1.24,No,No,No
91,Premier League,2014-2015,12,West Ham,38,12,11,15,44,47,-3,47,28,34,1,2,0.0,0.0,174,127,9,153,418,,97,169.0,1.24,12,11,15,44,47,-3.0,34,1,2,174,127,9,153,47,1.24,No,Yes,No
92,Premier League,2014-2015,13,West Brom,38,11,11,16,38,51,-13,44,26,29,4,5,0.0,0.0,182,131,16,132,418,,100,166.0,1.16,11,11,16,38,51,-13.0,29,4,5,182,131,16,132,44,1.16,No,No,No
93,Premier League,2014-2015,14,Leicester City,38,11,8,19,46,55,-9,41,28,29,3,3,0.0,0.0,172,117,10,137,418,,111,155.0,1.08,11,8,19,46,55,-9.0,29,3,3,172,117,10,137,41,1.08,No,No,No
94,Premier League,2014-2015,15,Newcastle Utd,38,10,9,19,40,63,-23,39,27,30,1,1,0.0,0.0,161,98,8,140,418,,108,159.0,1.03,10,9,19,40,63,-23.0,30,1,1,161,98,8,140,39,1.03,No,No,No
95,Premier League,2014-2015,16,Sunderland,38,7,17,14,31,53,-22,38,25,20,4,4,0.0,0.0,191,138,13,129,417,,100,165.0,1.0,7,17,14,31,53,-22.0,20,4,4,191,138,13,129,38,1.0,No,No,No
96,Premier League,2014-2015,17,Aston Villa,38,10,8,20,31,57,-26,38,27,23,1,1,0.0,0.0,168,111,10,127,418,,101,165.0,1.0,10,8,20,31,57,-26.0,23,1,1,168,111,10,127,38,1.0,No,No,No
97,Premier League,2014-2015,18,Hull City,38,8,11,19,33,51,-18,35,29,22,1,1,0.0,0.0,153,102,10,131,418,,111,154.0,0.92,8,11,19,33,51,-18.0,22,1,1,153,102,10,131,35,0.92,No,No,Yes
98,Premier League,2014-2015,19,Burnley,38,7,12,19,28,53,-25,33,24,22,1,2,0.0,0.0,178,125,10,124,418,,88,176.0,0.87,7,12,19,28,53,-25.0,22,1,2,178,125,10,124,33,0.87,No,No,Yes
99,Premier League,2014-2015,20,QPR,38,8,6,24,42,73,-31,30,32,29,3,5,0.0,0.0,209,136,6,149,418,,101,166.0,0.79,8,6,24,42,73,-31.0,29,3,5,209,136,6,149,30,0.79,No,No,Yes
100,Premier League,2015-2016,1,Leicester City,38,23,12,3,68,36,32,81,23,43,10,13,0.0,0.0,136,100,15,179,418,,109,157.0,2.13,23,12,3,68,36,32.0,43,10,13,136,100,15,179,81,2.13,Yes,No,No
101,Premier League,2015-2016,2,Arsenal,38,20,11,7,65,36,29,71,25,53,1,2,0.0,0.0,148,112,18,210,418,,107,159.0,1.87,20,11,7,65,36,29.0,53,1,2,148,112,18,210,71,1.87,Yes,No,No
102,Premier League,2015-2016,3,Tottenham,38,19,13,6,69,35,34,70,24,50,5,5,0.0,0.0,121,86,13,250,418,,106,160.0,1.84,19,13,6,69,35,34.0,50,5,5,121,86,13,250,70,1.84,Yes,No,No
103,Premier League,2015-2016,4,Manchester City,38,19,9,10,71,41,30,66,25,53,5,8,0.0,0.0,125,84,16,210,418,,109,158.0,1.74,19,9,10,71,41,30.0,53,5,8,125,84,16,210,66,1.74,Yes,No,No
104,Premier League,2015-2016,5,Manchester Utd,38,19,9,10,49,35,14,66,33,31,3,3,0.0,0.0,120,85,18,144,418,,108,157.0,1.74,19,9,10,49,35,14.0,31,3,3,120,85,18,144,66,1.74,No,Yes,No
105,Premier League,2015-2016,6,Southampton,38,18,9,11,59,41,18,63,26,45,3,4,0.0,0.0,133,92,12,165,418,,111,155.0,1.66,18,9,11,59,41,18.0,45,3,4,133,92,12,165,63,1.66,No,Yes,No
106,Premier League,2015-2016,7,West Ham,38,16,14,8,65,51,14,62,28,38,4,4,0.0,0.0,162,111,11,186,418,,111,155.0,1.63,16,14,8,65,51,14.0,38,4,4,162,111,11,186,62,1.63,No,Yes,No
107,Premier League,2015-2016,8,Liverpool,38,16,12,10,63,50,13,60,34,50,2,2,0.0,0.0,130,80,11,199,418,,109,156.0,1.58,16,12,10,63,50,13.0,50,2,2,130,80,11,199,60,1.58,No,No,No
108,Premier League,2015-2016,9,Stoke City,38,14,9,15,41,55,-14,51,27,29,5,5,0.0,0.0,175,120,10,127,418,,107,159.0,1.34,14,9,15,41,55,-14.0,29,5,5,175,120,10,127,51,1.34,No,No,No
109,Premier League,2015-2016,10,Chelsea,38,12,14,12,59,53,6,50,28,40,4,5,0.0,0.0,172,119,9,172,418,,103,163.0,1.32,12,14,12,59,53,6.0,40,4,5,172,119,9,172,50,1.32,No,No,No
110,Premier League,2015-2016,11,Everton,38,11,14,13,59,55,4,47,31,44,4,5,0.0,0.0,179,124,10,174,418,,98,168.0,1.24,11,14,13,59,55,4.0,44,4,5,179,124,10,174,47,1.24,No,No,No
111,Premier League,2015-2016,12,Swansea City,38,12,11,15,42,52,-10,47,27,25,5,5,0.0,0.0,165,113,9,135,418,,109,157.0,1.24,12,11,15,42,52,-10.0,25,5,5,165,113,9,135,47,1.24,No,No,No
112,Premier League,2015-2016,13,Watford,38,12,9,17,40,50,-10,45,25,18,6,7,0.0,0.0,123,73,11,139,418,,102,164.0,1.18,12,9,17,40,50,-10.0,18,6,7,123,73,11,139,45,1.18,No,No,No
113,Premier League,2015-2016,14,West Brom,38,10,13,15,34,48,-14,43,28,25,1,5,0.0,0.0,155,107,11,108,418,,101,166.0,1.13,10,13,15,34,48,-14.0,25,1,5,155,107,11,108,43,1.13,No,No,No
114,Premier League,2015-2016,15,Crystal Palace,38,11,9,18,39,51,-12,42,30,21,4,5,0.0,0.0,168,117,8,153,418,,106,160.0,1.11,11,9,18,39,51,-12.0,21,4,5,168,117,8,153,42,1.11,No,No,No
115,Premier League,2015-2016,16,Bournemouth,38,11,9,18,45,67,-22,42,28,28,3,4,0.0,0.0,152,85,7,143,418,,109,157.0,1.11,11,9,18,45,67,-22.0,28,3,4,152,85,7,143,42,1.11,No,No,No
116,Premier League,2015-2016,17,Sunderland,38,9,12,17,48,62,-14,39,31,30,3,3,0.0,0.0,213,151,7,173,418,,105,161.0,1.03,9,12,17,48,62,-14.0,30,3,3,213,151,7,173,39,1.03,No,No,No
117,Premier League,2015-2016,18,Newcastle Utd,38,9,10,19,44,65,-21,37,31,34,3,3,0.0,0.0,178,113,8,150,418,,108,159.0,0.97,9,10,19,44,65,-21.0,34,3,3,178,113,8,150,37,0.97,No,No,Yes
118,Premier League,2015-2016,19,Norwich City,38,9,7,22,39,67,-28,34,28,27,1,1,0.0,0.0,165,98,5,130,418,,106,160.0,0.89,9,7,22,39,67,-28.0,27,1,1,165,98,5,130,34,0.89,No,No,Yes
